second,Volt,Volt
-4.8140E-03,-56.2814E-03,-1.6080E-03
-4.8040E-03,-56.2814E-03,-1.9296E-03
-4.7940E-03,-56.2814E-03,-2.0101E-03
-4.7840E-03,-64.3216E-03,-2.3317E-03
-4.7740E-03,-72.3618E-03,-2.3317E-03
-4.7640E-03,-64.3216E-03,-2.5729E-03
-4.7540E-03,-72.3618E-03,-2.8141E-03
-4.7440E-03,-80.4020E-03,-2.8141E-03
-4.7340E-03,-72.3618E-03,-3.1357E-03
-4.7240E-03,-80.4020E-03,-3.3769E-03
-4.7140E-03,-88.4422E-03,-3.8593E-03
-4.7040E-03,-88.4422E-03,-3.4573E-03
-4.6940E-03,-88.4422E-03,-2.9749E-03
-4.6840E-03,-96.4824E-03,-2.9749E-03
-4.6740E-03,-96.4824E-03,-2.7337E-03
